Time from Start to Finish (seconds),Q1,Q6,Q7,Q10,Q11,Q15,Q22,Q23
Duration (in seconds),What is your age (# years)?,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,How long have you been writing code to analyze data (at work or at school)?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
510,22-24,"1000-9,999 employees",0,"30,000-39,999",$0 (USD),1-2 years,Never,1-2 years
423,40-44,"> 10,000 employees",20+,"5,000-7,499","> $100,000 ($USD)",I have never written code,,
83,55-59,,,,,,,
391,40-44,"> 10,000 employees",20+,"250,000-299,999","$10,000-$99,999",1-2 years,Once,2-3 years
392,22-24,0-49 employees,0,"4,000-4,999",$0 (USD),< 1 years,Never,< 1 years
470,50-54,0-49 employees,4-Mar,"60,000-69,999","$10,000-$99,999",20+ years,Never,10-15 years
529,22-24,50-249 employees,20+,"10,000-14,999",$100-$999,3-5 years,6-24 times,2-3 years
624,22-24,"> 10,000 employees",20+,"80,000-89,999",$0 (USD),3-5 years,Once,3-4 years
214,22-24,,,,,3-5 years,Never,1-2 years
691,55-59,0-49 employees,2-Jan,$0-999,$100-$999,5-10 years,Never,< 1 years
290,18-21,,,,,< 1 years,Never,< 1 years
459,30-34,0-49 employees,9-May,"2,000-2,999","$1000-$9,999",5-10 years,2-5 times,4-5 years
397,30-34,50-249 employees,9-May,"70,000-79,999","$1000-$9,999",5-10 years,Never,4-5 years
372,30-34,"> 10,000 employees",20+,"90,000-99,999",$0 (USD),3-5 years,Never,2-3 years
524,25-29,"1000-9,999 employees",,,,,,
485,50-54,50-249 employees,2-Jan,"125,000-149,999","> $100,000 ($USD)",10-20 years,Never,1-2 years
426,18-21,0-49 employees,2-Jan,$0-999,$100-$999,1-2 years,Never,2-3 years
420,18-21,,,,,1-2 years,Never,2-3 years
756,35-39,"> 10,000 employees",20+,$0-999,"> $100,000 ($USD)",3-5 years,Never,4-5 years
