Time from Start to Finish (seconds),Approximate Age,Approximate Empolyees,Approximate Wage,Approximate Spending,Coding Years,TPU Times,ML Years
510,23,5000,35000,0,2,0,2
423,42,10000,6250,100000,0,,
83,57,,0,,,,
391,42,10000,275000,50000,2,1,3
392,23,25,4500,0,1,0,1
470,52,25,65000,50000,20,0,12
529,23,125,12500,500,4,12,3
624,23,10000,85000,0,4,1,4
214,23,,0,,4,0,2
691,57,25,500,500,7.5,0,1
290,20,,0,,1,0,1
459,32,25,2500,5000,7.5,3,5
397,32,125,75000,5000,7.5,0,5
372,32,10000,95000,0,4,0,3
524,27,5000,0,,,,
485,52,125,133000,100000,15,0,2
426,20,25,500,500,2,0,3
420,20,,0,,2,0,3
756,37,10000,500,100000,4,0,5
368,27,125,45000,0,7.5,0,5
1529,23,5000,22500,100000,2,0,2
979,37,500,133000,0,7.5,0,3
691,27,10000,500,50,1,0,1
1146,42,125,12500,5000,2,3,1
377,27,500,17500,0,7.5,0,2
379,32,25,22500,5000,2,0,2
353,37,25,112500,50000,15,0,3
518,27,,0,,2,0,3
528,32,5000,500,50,4,0,3
615,27,25,500,0,2,0,1
1486,32,10000,95000,0,2,0,3
538,32,25,8250,500,7.5,0,3
884,27,5000,500,0,2,0,1
402,32,10000,175000,100000,7.5,0,4
448,23,10000,12500,100000,2,0,3
1023,27,5000,8250,50000,4,0,4
384,37,125,12500,500,2,0,2
973,27,500,27500,50,4,0,2
843,37,10000,45000,0,1,0,1
1341,32,5000,95000,100000,15,0,10
621,27,125,6250,5000,2,0,2
334,23,,0,,1,0,1
578,23,,0,,1,0,2
529,37,10000,3500,0,2,1,2
538,27,125,2500,500,4,0,1
380,23,125,12500,0,2,0,2
691,27,10000,12500,0,4,0,1
648,27,125,500,0,1,0,3
352,37,25,45000,50,7.5,0,2
402,32,25,45000,5000,2,0,4
682,37,5000,175000,50,7.5,0,10
389,27,10000,3500,0,4,0,3
507,20,,0,,2,0,2
1868,32,5000,85000,5000,2,0,2
523,27,500,65000,500,4,0,2
682,27,10000,500,50,1,3,1
578,47,125,2500,50,4,0,4
831,42,10000,1500,5000,1,0,1
443,32,10000,175000,0,4,0,5
1013,23,,0,,1,0,1
448,37,10000,45000,50000,2,0,2
691,32,500,112500,500,4,0,3
585,27,,0,,7.5,0,5
748,23,25,45000,500,2,0,2
446,37,10000,45000,0,2,0,1
462,42,5000,17500,0,4,0,2
474,27,10000,225000,100000,7.5,12,10
627,20,5000,12500,50,2,0,2
548,23,5000,17500,0,2,3,2
573,23,,0,,2,0,1
711,32,10000,22500,0,4,3,4
703,23,125,55000,0,2,0,1
287,20,,0,,0,,
610,20,,0,,2,0,2
431,32,25,500,0,1,0,1
575,23,,0,,2,0,3
514,37,500,1500,0,2,0,2
485,37,5000,133000,5000,15,1,12
419,20,,0,,1,0,1
69,32,5000,0,,,,
326,32,5000,17500,0,7.5,0,10
284,27,125,75000,0,2,0,2
392,27,125,1500,50,2,0,1
367,23,,0,,0,,
414,32,5000,75000,100000,4,0,2
369,32,10000,133000,50000,4,0,2
558,23,25,45000,5000,2,0,3
751,23,25,133000,500,1,0,1
680,32,25,65000,500,7.5,0,5
673,27,125,45000,50,7.5,0,2
403,23,25,500,50,2,0,2
712,37,125,45000,0,2,0,2
413,32,25,45000,500,2,0,2
906,47,25,95000,5000,1,0,2
440,23,10000,4500,50,4,0,1
805,23,125,12500,0,2,0,1
345,32,25,55000,50,2,0,1
515,32,125,12500,50,2,0,2
1036,27,5000,35000,0,2,0,5
991,37,125,225000,0,4,0,10
379,20,,0,,1,3,1
1633,27,25,500,0,1,0,1
356,23,25,4500,0,1,0,1
462,52,25,65000,5000,15,0,2
627,32,125,133000,50000,4,0,4
492,32,,0,,2,0,3
272,27,,0,,2,0,2
464,32,5000,112500,50000,15,0,4
489,20,,0,,1,3,1
474,37,10000,75000,5000,7.5,0,4
537,27,500,95000,100000,4,1,2
677,27,,0,,1,0,2
1099,27,10000,27500,0,4,0,4
660,47,125,3500,500,2,0,2
501,27,5000,45000,5000,4,0,5
483,20,,0,,0,,
386,23,,0,,1,0,1
835,37,125,45000,5000,15,3,2
146,23,25,65000,0,0,,
655,27,25,500,500,2,0,2
583,42,10000,500000,100000,7.5,3,2
406,27,125,85000,0,4,0,4
422,27,,0,,1,0,1
638,32,25,175000,5000,7.5,0,5
509,23,125,22500,50000,2,3,2
2591,27,25,27500,500,4,0,3
349,27,,0,,1,0,1
562,23,,0,,2,0,2
347,23,,0,,2,0,2
493,23,25,35000,500,2,3,2
549,20,5000,17500,500,2,0,2
613,20,,0,,2,0,2
438,47,10000,400000,50,4,0,2
456,32,125,2500,0,2,0,1
851,27,500,27500,500,4,0,1
1235,52,5000,55000,5000,20,0,20
395,20,10000,4500,50,4,0,2
432,23,,0,,1,25,1
925,27,10000,27500,5000,2,0,2
598,32,,0,,4,1,4
180,32,500,22500,0,0,,
1120,42,10000,45000,100000,4,0,3
1475,65,5000,112500,100000,20,0,1
1210,47,5000,17500,0,7.5,0,1
1149,27,5000,1500,50000,7.5,0,10
375,57,10000,175000,0,15,0,1
586,32,10000,35000,500,2,0,2
538,23,,0,,1,0,1
470,20,,0,,2,0,2
1449,57,5000,133000,5000,4,1,2
42,32,,0,,,,
762,27,25,500,50,4,0,1
982,37,500,22500,500,7.5,0,2
1042,42,25,35000,500,4,0,2
632,23,10000,12500,500,2,0,2
441,47,10000,225000,100000,15,0,1
582,23,5000,8250,50,4,0,2
321,32,500,55000,50,4,0,1
326,42,10000,35000,0,7.5,0,3
983,37,125,133000,100000,15,1,12
483,37,25,35000,500,1,0,1
519,32,5000,6250,50,1,0,1
478,37,,0,,15,12,2
368,20,,0,,1,0,1
747,20,5000,12500,5000,4,0,4
1581,27,5000,3500,0,2,0,2
518,37,10000,133000,50000,7.5,0,10
479,37,500,133000,5000,7.5,0,10
1008,37,500,133000,5000,15,0,3
543,32,10000,45000,500,4,0,5
2055,20,,0,,4,0,2
482,20,,0,,2,0,1
444,27,25,65000,50000,4,0,4
491,20,,0,,1,0,1
431,32,25,35000,0,4,0,3
309,23,,0,,1,0,1
540,27,500,1500,5000,2,0,1
437,27,25,6250,500,2,0,2
760,47,,0,,1,0,1
736,37,125,45000,500,4,1,5
551,37,125,500,0,1,0,1
923,23,500,75000,0,4,0,2
712,70,25,500,0,4,0,12
958,23,25,1500,50,1,0,1
555,47,500,95000,50000,20,0,12
409,32,25,500,50,2,0,2
471,27,125,22500,50,4,0,1
650,23,500,22500,5000,2,0,1
490,32,25,75000,5000,7.5,0,10
528,42,25,133000,50000,20,0,3
252,37,10000,17500,5000,0,,
953,52,25,6250,50000,20,3,5
345,23,,0,,1,0,1
493,27,125,500,50,1,3,1
539,32,,0,,1,0,1
325,20,,0,,2,0,1
1448,23,,0,,2,0,2
388,27,500,133000,5000,7.5,0,3
683,27,10000,500,500,4,0,5
274,27,25,45000,0,7.5,0,3
307,32,,0,,2,0,2
814,27,500,75000,0,4,0,5
721,23,10000,65000,50,1,1,1
1057,27,,0,,4,0,2
669,27,5000,12500,50,4,0,3
801,57,5000,12500,0,4,0,3
560,27,125,12500,5000,4,0,2
301,27,500,1500,500,7.5,0,2
471,23,25,12500,0,4,0,2
915,23,25,65000,0,2,0,2
731,23,,0,,2,0,1
482,23,5000,500,500,7.5,0,10
5038,20,125,75000,100000,4,0,3
868,20,,0,,2,0,1
699,27,10000,12500,50000,2,0,2
279,27,,0,,1,0,1
1570,42,5000,45000,5000,4,0,2
304,23,,0,,1,0,1
915,37,125,55000,0,4,0,3
529,32,25,500,5000,2,0,2
399,32,500,27500,0,15,0,10
898,32,10000,22500,0,1,0,1
613,42,125,65000,5000,7.5,0,2
462,42,10000,95000,0,15,3,10
902,37,25,500,50,1,0,1
421,27,10000,35000,0,0,,
343,57,,0,,20,0,1
284,42,,0,,4,0,2
425,23,,0,,2,0,2
868,32,10000,12500,5000,2,0,1
274,52,10000,175000,0,20,0,20
235,32,,0,,0,,
576,27,10000,175000,100000,7.5,0,10
4315,57,125,17500,500,1,3,2
4156,23,500,6250,5000,2,,
1208,27,5000,75000,5000,4,0,3
732,32,500,35000,50,2,1,2
483,52,10000,225000,100000,7.5,0,12
1627,20,25,2500,0,4,0,1
1026,47,5000,112500,5000,15,1,1
410,32,10000,85000,50000,15,0,3
4941,27,5000,55000,0,4,0,1
426,23,,0,,1,0,2
270,20,,0,,1,0,1
419,32,25,17500,0,1,0,2
827,20,,0,,0,,
576,27,10000,3500,0,4,0,3
345,20,,0,,0,,
465,27,25,55000,5000,7.5,0,5
554,32,5000,55000,50000,4,0,1
854,37,10000,35000,500,15,0,10
753,42,5000,6250,500,7.5,0,10
402,27,5000,45000,500,4,0,3
646,47,25,225000,5000,7.5,0,4
550,32,500,65000,500,7.5,1,10
538,52,5000,112500,50000,20,0,1
285,32,,0,,4,1,1
398,32,25,75000,0,2,0,1
665,65,10000,225000,5000,2,0,2
1857,32,125,12500,0,4,0,1
613,32,25,95000,50000,4,3,4
691,32,10000,85000,500,7.5,0,10
1485,27,10000,75000,0,7.5,1,10
734,42,10000,275000,100000,15,3,5
398,20,,0,,2,1,2
560,23,,0,,2,0,2
815,32,10000,112500,0,1,0,1
728,37,5000,4500,50,7.5,0,10
423,20,,0,,1,3,1
901,47,5000,55000,5000,7.5,0,10
465,47,5000,175000,50000,15,0,12
398,42,10000,95000,50000,20,0,10
817,23,10000,45000,500,2,0,2
2536,47,5000,225000,500,4,0,5
221,27,,0,,4,0,4
643,27,,0,,2,0,3
3550,27,500,6250,5000,1,0,1
591,23,10000,500,0,1,0,1
516,42,10000,133000,50000,15,12,10
692,37,10000,6250,5000,4,0,4
2186,52,125,45000,500,2,0,2
416,32,25,133000,50000,7.5,0,5
432,20,,0,,1,0,1
555,42,10000,500000,100000,15,0,5
525,23,25,4500,50,2,0,1
818,20,,0,,2,0,1
333,23,,0,,1,0,1
436,23,500,75000,50000,2,0,2
573,65,125,175000,100000,2,0,3
333,23,,0,,4,0,2
1367,32,5000,12500,50,4,1,3
915,27,125,45000,5000,4,0,4
747,32,125,17500,0,4,0,2
843,32,500,45000,50,7.5,1,3
509,37,25,133000,100000,15,0,12
3445,32,5000,112500,50000,15,0,3
870,52,25,112500,0,20,0,20
485,23,25,500,0,2,0,4
2378,37,10000,45000,50,7.5,0,3
785,32,500,65000,5000,7.5,0,3
595,27,5000,95000,0,7.5,0,3
382,65,25,95000,0,7.5,0,1
1696,42,5000,27500,50000,15,0,12
186,42,25,112500,500,0,,
3524,27,25,3500,500,1,0,1
512,52,25,35000,5000,20,0,1
149,20,,0,,0,,
1181,27,10000,500,50,1,0,1
241,32,,0,,7.5,0,1
408,20,,0,,1,0,1
506,37,10000,65000,0,7.5,0,2
1727,23,10000,4500,0,1,0,1
387,20,10000,85000,100000,4,0,2
805,27,5000,2500,500,2,0,1
290,27,,0,,2,0,1
443,27,500,12500,50,1,0,1
378,20,,0,,1,0,1
573,37,25,22500,0,1,0,1
588,20,125,12500,50,2,0,2
4628,57,5000,3500,5000,15,0,12
1715,27,10000,22500,5000,2,0,2
391,23,125,500,50,2,0,1
845,32,25,4500,5000,1,1,1
854,52,25,8250,500,4,0,3
655,23,,0,,1,1,1
1444,37,10000,95000,500,15,0,5
580,27,25,12500,500,1,0,1
547,32,125,17500,0,4,0,4
313,20,,0,,1,0,1
296,27,25,27500,0,2,0,1
1739,23,500,8250,0,4,0,1
624,32,5000,112500,50,2,0,2
1514,27,,0,,4,0,2
574,42,25,35000,0,1,0,1
